Item Code,Product Name,HS Code,Description,Purchase Price,Sales Price
14.2929,prod_b81962d6,9900,Testdescription,63,246
14.2930,prod_52ee908e,1124,Testdescription,141,275
14.2931,prod_4cb32cf8,7424,Testdescription,247,394
14.2932,prod_0ca35f61,8956,Testdescription,429,577
14.2933,prod_12cd7c8d,9259,Testdescription,479,647
14.2934,prod_42bde3fb,1882,Testdescription,786,940
14.2935,prod_81605c99,3214,Testdescription,947,1140
14.2936,prod_3f435407,7817,Testdescription,793,938
14.2937,prod_5ed0bdec,2726,Testdescription,734,929
14.2938,prod_096ea9a1,9577,Testdescription,107,244
